,game_name,app_header,seller,raiting_in_category,from_age,raiting,game_price,raiting_amount,offers,size_app,age_raiting1,age_rating2,age_rating3,age_rating4,age_rating5,age_raiting6
2297,Football Manager 2023 Mobile,#1 mobile management game,Sega America,#3 in Sports,4+,4.8,Free,659 Ratings,Offers In-App Purchases,1.3 GB,,,,,,
2298,Airport Security,Secure the Skies,Kwalee Ltd,#27 in Simulation,12+,4.6,$1.99,101.3K Ratings,Offers In-App Purchases,246.9 MB,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Realistic Violence,Infrequent/Mild Mature/Suggestive Themes
2299,GRID™ Autosport,Console-quality racing,Feral Interactive Ltd,#14 in Racing,4+,4.4,Free,1.8K Ratings,Offers In-App Purchases,4.1 GB,,,,,,
2300,Papa's Taco Mia To Go‪!‬,"Tasty tacos, chips, and dips",Flipline IDS LLC,#29 in Simulation,4+,4.1,Free,199 Ratings,,107 MB,,,,,,
2301,Football Strike,Multiplayer Soccer,Miniclip SA,#24 in Sports,4+,4.7,Free,330.1K Ratings,,203.4 MB,,,,,,
2302,Gold and Goblins: Idle Merger,Magic Miner. Dig & Get Rich‪!‬,AppQuantum Publishing Ltd,#70 in Simulation,4+,4.5,Free,20.1K Ratings,,208.4 MB,,,,,,
2303,Papa's Cheeseria To Go‪!‬,Gourmet grilled cheese,Flipline IDS LLC,#24 in Strategy,4+,4.7,$0.99,236 Ratings,,76.8 MB,,,,,,
2304,DIY Joystick,Customize your game controller,"CRAZY LABS BY TABTALE , G.P.",#38 in Role Playing,12+,4.7,Free,36.4K Ratings,,261.9 MB,Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Sexual Content and Nudity,Infrequent/Mild Profanity or Crude Humor,Infrequent/Mild Mature/Suggestive Themes,Infrequent/Mild Cartoon or Fantasy Violence
2305,Diamond Painting ASMR Coloring,Color by number paint 3D game,"CRAZY LABS BY TABTALE , G.P.",#98 in Simulation,12+,4.5,Free,30.9K Ratings,Offers In-App Purchases,271.2 MB,Infrequent/Mild Horror/Fear Themes,Infrequent/Mild Profanity or Crude Humor,Infrequent/Mild Medical/Treatment Information,Infrequent/Mild Cartoon or Fantasy Violence,Infrequent/Mild Realistic Violence,Infrequent/Mild Sexual Content and Nudity
2306,Fill The Fridge‪!‬,3D Fridge Organizing Game,Rollic Games Oyun Yazilim ve Pazarlama Anonim Sirketi,#61 in Simulation,12+,4.6,Free,130.1K Ratings,,207.2 MB,"Infrequent/Mild Alcohol, Tobacco, or Drug Use or References",,,,,
